Analysis for,q9 combined geometry  410   nodes   80    elements

1.00000E-06
  410    2
    1  -9.999999999999465E+00   3.267948965381384E-06
    2  -1.012499999999946E+01   3.308798327448651E-06
    3  -1.024999999999945E+01   3.349647689515918E-06
    4  -1.037499999999945E+01   3.390497051583186E-06
    5  -1.049999999999944E+01   3.431346413650453E-06
    6  -9.969173083599145E+00   7.845942148749284E-01
    7  -1.009378774039414E+01   7.944016425983627E-01
    8  -1.021840243718913E+01   8.042090703218102E-01
    9  -1.034301703398411E+01   8.140164980452249E-01
   10  -1.046763173077910E+01   8.238239257686725E-01
   11  -9.876882898779623E+00   1.564347877715009E+00
   12  -1.000034388238937E+01   1.583902228061429E+00
   13  -1.012380497599911E+01   1.603456578407885E+00
   14  -1.024726596960886E+01   1.623010918754309E+00
   15  -1.037072706321861E+01   1.642565269100765E+00
   16  -9.723698437111945E+00   2.334456817655149E+00
   17  -9.845244667575844E+00   2.363637527375839E+00
   18  -9.966790898039743E+00   2.392818237096528E+00
   19  -1.008833710850364E+01   2.421998946817211E+00
   20  -1.020988339896754E+01   2.451179656537920E+00
   21  -9.510564150147726E+00   3.090173048003992E+00
   22  -9.629446207524571E+00   3.128800216854045E+00
   23  -9.748328254901418E+00   3.167427375704093E+00
   24  -9.867210312278264E+00   3.206054544554144E+00
   25  -9.986092359655112E+00   3.244681703404193E+00
   26  -9.238794079409582E+00   3.826837339190960E+00
   27  -9.354279003777201E+00   3.874672806930846E+00
   28  -9.469763928144820E+00   3.922508274670732E+00
   29  -9.585248852512439E+00   3.970343742410619E+00
   30  -9.700733776880059E+00   4.018179210150505E+00
   31  -8.910063756381739E+00   4.539907911763605E+00
   32  -9.021439557836514E+00   4.596656758160653E+00
   33  -9.132815349291283E+00   4.653405604557695E+00
   34  -9.244191150746056E+00   4.710154450954742E+00
   35  -9.355566942200827E+00   4.766903307351785E+00
   36  -8.526399932500899E+00   5.224988436384263E+00
   37  -8.632979931157161E+00   5.290300791214066E+00
   38  -8.739559929813423E+00   5.355613146043869E+00
   39  -8.846139938469683E+00   5.420925500873675E+00
   40  -8.952719937125947E+00   5.486237855703479E+00
   41  -8.090168019147361E+00   5.877855163825935E+00
   42  -8.191295125136703E+00   5.951328356873761E+00
   43  -8.292422221126044E+00   6.024801549921584E+00
   44  -8.393549327115389E+00   6.098274732969409E+00
   45  -8.494676423104728E+00   6.171747926017232E+00
   46  -7.604057537636518E+00   6.494482964967544E+00
   47  -7.699108251106972E+00   6.575664006029636E+00
   48  -7.794158974577427E+00   6.656845047091731E+00
   49  -7.889209688047886E+00   6.738026078153823E+00
   50  -7.984260411518341E+00   6.819207119215918E+00
   51  -7.071065499210749E+00   7.071070120788495E+00
   52  -7.159453820325884E+00   7.159458499673353E+00
   53  -7.247842141441017E+00   7.247846878558209E+00
   54  -7.336230452556153E+00   7.336235247443064E+00
   55  -7.424618773671287E+00   7.424623626327921E+00
   56  -6.494477995031763E+00   7.604061782362670E+00
   57  -6.575658973969662E+00   7.699112548892206E+00
   58  -6.656839952907558E+00   7.794163325421740E+00
   59  -6.738020921845457E+00   7.889214091951272E+00
   60  -6.819201900783352E+00   7.984264868480806E+00
   61  -5.877849876173438E+00   8.090171860851774E+00
   62  -5.951323003125603E+00   8.191299014862421E+00
   63  -6.024796130077773E+00   8.292426158873072E+00
   64  -6.098269247029939E+00   8.393553312883716E+00
   65  -6.171742373982108E+00   8.494680456894365E+00
   66  -5.224982863615179E+00   8.526403347498190E+00
   67  -5.290295148785369E+00   8.632983388841916E+00
   68  -5.355607433955559E+00   8.739563430185642E+00
   69  -5.420919719125745E+00   8.846143481529371E+00
   70  -5.486232004295935E+00   8.952723522873098E+00
   71  -4.539902088235910E+00   8.910066723617309E+00
   72  -4.596650861838858E+00   9.021442562162525E+00
   73  -4.653399635441807E+00   9.132818390707738E+00
   74  -4.710148409044755E+00   9.244194229252956E+00
   75  -4.766897192647705E+00   9.355570057798175E+00
   76  -3.826831300808632E+00   9.238796580589431E+00
   77  -3.874666693068740E+00   9.354281536221801E+00
   78  -3.922502085328848E+00   9.469766491854168E+00
   79  -3.970337477588957E+00   9.585251447486538E+00
   80  -4.018172869849066E+00   9.700736403118905E+00
   81  -3.090166831995677E+00   9.510566169851259E+00
   82  -3.128793923145622E+00   9.629448252474402E+00
   83  -3.167421004295569E+00   9.748330325097539E+00
   84  -3.206048095445513E+00   9.867212407720682E+00
   85  -3.244675176595461E+00   9.986094480343821E+00
   86  -2.334450462344601E+00   9.723699962887018E+00
   87  -2.363631092623909E+00   9.845246212423103E+00
   88  -2.392811722903216E+00   9.966792461959191E+00
   89  -2.421992353182530E+00   1.008833869149528E+01
   90  -2.451172983461818E+00   1.020988500103137E+01
   91  -1.564341422284824E+00   9.876883921219321E+00
   92  -1.583895691938402E+00   1.000034491760956E+01
   93  -1.603449961591943E+00   1.012380602399980E+01
   94  -1.623004221245518E+00   1.024726703039004E+01
   95  -1.642558490899059E+00   1.037072813678029E+01
   96  -7.845876991249879E-01   9.969173596399788E+00
   97  -7.943950454015525E-01   1.009378825960479E+01
   98  -8.042023916781039E-01   1.021840296280978E+01
   99  -8.140097379546880E-01   1.034301756601478E+01
  100  -8.238170842312397E-01   1.046763226921978E+01
  101   3.267948964769060E-06   9.999999999999465E+00
  102   3.308798326828674E-06   1.012499999999946E+01
  103   3.349647688888287E-06   1.024999999999945E+01
  104   3.390497050947900E-06   1.037499999999945E+01
  105   3.431346413007513E-06   1.049999999999944E+01
  106   7.845942148749284E-01   9.969173083599145E+00
  107   7.944016425983627E-01   1.009378774039414E+01
  108   8.042090703218102E-01   1.021840243718913E+01
  109   8.140164980452249E-01   1.034301703398411E+01
  110   8.238239257686725E-01   1.046763173077910E+01
  111   1.564347877715009E+00   9.876882898779623E+00
  112   1.583902228061429E+00   1.000034388238937E+01
  113   1.603456578407885E+00   1.012380497599911E+01
  114   1.623010918754309E+00   1.024726596960886E+01
  115   1.642565269100765E+00   1.037072706321861E+01
  116   2.334456817655149E+00   9.723698437111945E+00
  117   2.363637527375839E+00   9.845244667575844E+00
  118   2.392818237096528E+00   9.966790898039743E+00
  119   2.421998946817211E+00   1.008833710850364E+01
  120   2.451179656537920E+00   1.020988339896754E+01
  121   3.090173048003992E+00   9.510564150147726E+00
  122   3.128800216854045E+00   9.629446207524571E+00
  123   3.167427375704093E+00   9.748328254901418E+00
  124   3.206054544554144E+00   9.867210312278264E+00
  125   3.244681703404193E+00   9.986092359655112E+00
  126   3.826837339190960E+00   9.238794079409582E+00
  127   3.874672806930846E+00   9.354279003777201E+00
  128   3.922508274670732E+00   9.469763928144820E+00
  129   3.970343742410619E+00   9.585248852512439E+00
  130   4.018179210150505E+00   9.700733776880059E+00
  131   4.539907911763605E+00   8.910063756381739E+00
  132   4.596656758160653E+00   9.021439557836514E+00
  133   4.653405604557695E+00   9.132815349291283E+00
  134   4.710154450954742E+00   9.244191150746056E+00
  135   4.766903307351785E+00   9.355566942200827E+00
  136   5.224988436384263E+00   8.526399932500899E+00
  137   5.290300791214066E+00   8.632979931157161E+00
  138   5.355613146043869E+00   8.739559929813423E+00
  139   5.420925500873675E+00   8.846139938469683E+00
  140   5.486237855703479E+00   8.952719937125947E+00
  141   5.877855163825935E+00   8.090168019147361E+00
  142   5.951328356873761E+00   8.191295125136703E+00
  143   6.024801549921584E+00   8.292422221126044E+00
  144   6.098274732969409E+00   8.393549327115389E+00
  145   6.171747926017232E+00   8.494676423104728E+00
  146   6.494482964967544E+00   7.604057537636518E+00
  147   6.575664006029636E+00   7.699108251106972E+00
  148   6.656845047091731E+00   7.794158974577427E+00
  149   6.738026078153823E+00   7.889209688047886E+00
  150   6.819207119215918E+00   7.984260411518341E+00
  151   7.071070120788495E+00   7.071065499210749E+00
  152   7.159458499673353E+00   7.159453820325884E+00
  153   7.247846878558209E+00   7.247842141441017E+00
  154   7.336235247443064E+00   7.336230452556153E+00
  155   7.424623626327921E+00   7.424618773671287E+00
  156   7.604061782362670E+00   6.494477995031763E+00
  157   7.699112548892206E+00   6.575658973969662E+00
  158   7.794163325421740E+00   6.656839952907558E+00
  159   7.889214091951272E+00   6.738020921845457E+00
  160   7.984264868480806E+00   6.819201900783352E+00
  161   8.090171860851774E+00   5.877849876173438E+00
  162   8.191299014862421E+00   5.951323003125603E+00
  163   8.292426158873072E+00   6.024796130077773E+00
  164   8.393553312883716E+00   6.098269247029939E+00
  165   8.494680456894365E+00   6.171742373982108E+00
  166   8.526403347498190E+00   5.224982863615179E+00
  167   8.632983388841916E+00   5.290295148785369E+00
  168   8.739563430185642E+00   5.355607433955559E+00
  169   8.846143481529371E+00   5.420919719125745E+00
  170   8.952723522873098E+00   5.486232004295935E+00
  171   8.910066723617309E+00   4.539902088235910E+00
  172   9.021442562162525E+00   4.596650861838858E+00
  173   9.132818390707738E+00   4.653399635441807E+00
  174   9.244194229252956E+00   4.710148409044755E+00
  175   9.355570057798175E+00   4.766897192647705E+00
  176   9.238796580589431E+00   3.826831300808632E+00
  177   9.354281536221801E+00   3.874666693068740E+00
  178   9.469766491854168E+00   3.922502085328848E+00
  179   9.585251447486538E+00   3.970337477588957E+00
  180   9.700736403118905E+00   4.018172869849066E+00
  181   9.510566169851259E+00   3.090166831995677E+00
  182   9.629448252474402E+00   3.128793923145622E+00
  183   9.748330325097539E+00   3.167421004295569E+00
  184   9.867212407720682E+00   3.206048095445513E+00
  185   9.986094480343821E+00   3.244675176595461E+00
  186   9.723699962887018E+00   2.334450462344601E+00
  187   9.845246212423103E+00   2.363631092623909E+00
  188   9.966792461959191E+00   2.392811722903216E+00
  189   1.008833869149528E+01   2.421992353182530E+00
  190   1.020988500103137E+01   2.451172983461818E+00
  191   9.876883921219321E+00   1.564341422284824E+00
  192   1.000034491760956E+01   1.583895691938402E+00
  193   1.012380602399980E+01   1.603449961591943E+00
  194   1.024726703039004E+01   1.623004221245518E+00
  195   1.037072813678029E+01   1.642558490899059E+00
  196   9.969173596399788E+00   7.845876991249879E-01
